Time_s,Time_ms,Voltage_Raw_V,Voltage_Filtered_V
0.000074750,0.074750,0.292600,0.290560
0.000074875,0.074875,0.287000,0.285629
0.000075000,0.075000,0.280600,0.280345
0.000075125,0.075125,0.274800,0.274738
0.000075250,0.075250,0.268600,0.268871
0.000075375,0.075375,0.262200,0.262777
0.000075500,0.075500,0.255400,0.256494
0.000075625,0.075625,0.248200,0.250073
0.000075750,0.075750,0.241600,0.243557
0.000075875,0.075875,0.234600,0.236961
0.000076000,0.076000,0.228200,0.230351
0.000076125,0.076125,0.221400,0.223751
0.000076250,0.076250,0.214600,0.217219
0.000076375,0.076375,0.207800,0.210759
0.000076500,0.076500,0.201400,0.204417
0.000076625,0.076625,0.195400,0.198231
0.000076750,0.076750,0.189200,0.192238
0.000076875,0.076875,0.184000,0.186459
0.000077000,0.077000,0.178000,0.180880
0.000077125,0.077125,0.173000,0.175551
0.000077250,0.077250,0.167600,0.170502
0.000077375,0.077375,0.163400,0.165710
0.000077500,0.077500,0.158800,0.161196
0.000077625,0.077625,0.154600,0.156996
0.000077750,0.077750,0.150600,0.153128
0.000077875,0.077875,0.147000,0.149579
0.000078000,0.078000,0.143800,0.146344
0.000078125,0.078125,0.141400,0.143444
0.000078250,0.078250,0.139200,0.140876
0.000078375,0.078375,0.137000,0.138660
0.000078500,0.078500,0.135400,0.136801
0.000078625,0.078625,0.134000,0.135286
0.000078750,0.078750,0.132600,0.134117
0.000078875,0.078875,0.131800,0.133272
0.000079000,0.079000,0.131600,0.132764
0.000079125,0.079125,0.131400,0.132579
0.000079250,0.079250,0.131400,0.132726
0.000079375,0.079375,0.131600,0.133186
0.000079500,0.079500,0.132600,0.133943
0.000079625,0.079625,0.133600,0.134979
0.000079750,0.079750,0.134600,0.136297
0.000079875,0.079875,0.136400,0.137902
0.000080000,0.080000,0.138000,0.139736
0.000080125,0.080125,0.140400,0.141850
